timestamp,cycle,job,instance,status_code,latency_ms,payload_bytes,error
1770363686.529,1,amd-gpu-exporter,10.0.10.1,503,527.17,784459,
1770363689.552,1,node-exporter,10.0.10.1,503,8.21,583569,
1770363686.888,1,oci_lens_node_metrics,stress-node-0000,503,7.57,25528,
1770363687.046,1,oci_lens_drhpc_metrics,stress-node-0000,503,7.81,14961,
1770363689.143,1,amd-gpu-exporter,10.0.10.2,503,2.9,784459,
1770363686.531,1,node-exporter,10.0.10.2,503,675.15,583569,
1770363687.666,1,oci_lens_node_metrics,stress-node-0001,503,7.71,25528,
1770363687.417,1,oci_lens_drhpc_metrics,stress-node-0001,503,7.96,14961,
1770363690.489,1,amd-gpu-exporter,10.0.10.3,503,3.22,784459,
1770363686.562,1,node-exporter,10.0.10.3,503,2.59,583569,
1770363688.905,1,oci_lens_node_metrics,stress-node-0002,503,8.27,25528,
1770363687.475,1,oci_lens_drhpc_metrics,stress-node-0002,503,1.55,14961,
1770363689.878,1,amd-gpu-exporter,10.0.10.4,503,3.01,784459,
1770363688.842,1,node-exporter,10.0.10.4,503,8.51,583569,
1770363688.487,1,oci_lens_node_metrics,stress-node-0003,503,7.75,25528,
1770363686.529,1,oci_lens_drhpc_metrics,stress-node-0003,503,249.44,14961,
1770363688.526,1,amd-gpu-exporter,10.0.10.5,503,2.57,784459,
1770363687.214,1,node-exporter,10.0.10.5,503,3.05,583569,
1770363688.108,1,oci_lens_node_metrics,stress-node-0004,503,7.84,25528,
1770363689.175,1,oci_lens_drhpc_metrics,stress-node-0004,503,7.84,14961,
1770363689.545,1,amd-gpu-exporter,10.0.10.6,503,2.61,784459,
1770363686.929,1,node-exporter,10.0.10.6,503,2.26,583569,
1770363688.591,1,oci_lens_node_metrics,stress-node-0005,503,7.41,25528,
1770363689.818,1,oci_lens_drhpc_metrics,stress-node-0005,503,7.63,14961,
1770363686.764,1,amd-gpu-exporter,10.0.10.7,503,3.02,784459,
1770363688.325,1,node-exporter,10.0.10.7,503,2.59,583569,
1770363689.116,1,oci_lens_node_metrics,stress-node-0006,503,1.88,25528,
1770363688.907,1,oci_lens_drhpc_metrics,stress-node-0006,503,1.33,14961,
1770363686.538,1,amd-gpu-exporter,10.0.10.8,503,16.02,784459,
1770363687.644,1,node-exporter,10.0.10.8,503,2.73,583569,
1770363690.069,1,oci_lens_node_metrics,stress-node-0007,503,1.66,25528,
1770363690.388,1,oci_lens_drhpc_metrics,stress-node-0007,503,1.92,14961,
1770363688.755,1,amd-gpu-exporter,10.0.10.9,503,2.76,784459,
1770363687.962,1,node-exporter,10.0.10.9,503,2.55,583569,
1770363686.530,1,oci_lens_node_metrics,stress-node-0008,503,114.75,25528,
1770363687.870,1,oci_lens_drhpc_metrics,stress-node-0008,503,1.75,14961,
1770363686.530,1,amd-gpu-exporter,10.0.10.10,503,192.98,784459,
1770363686.530,1,node-exporter,10.0.10.10,503,818.56,583569,
1770363689.346,1,oci_lens_node_metrics,stress-node-0009,503,1.56,25528,
1770363690.245,1,oci_lens_drhpc_metrics,stress-node-0009,503,1.55,14961,
1770363689.993,1,oci_lens_pod_metrics,pod-node-mapper-stress-test,503,8.6,20659,
1770363750.269,2,amd-gpu-exporter,10.0.10.1,503,8.67,784459,
1770363747.292,2,node-exporter,10.0.10.1,503,8.16,583569,
1770363750.349,2,oci_lens_node_metrics,stress-node-0000,503,7.82,25528,
1770363746.166,2,oci_lens_drhpc_metrics,stress-node-0000,503,111.42,14961,
1770363749.201,2,amd-gpu-exporter,10.0.10.2,503,9.36,784459,
1770363747.484,2,node-exporter,10.0.10.2,503,2.3,583569,
1770363746.166,2,oci_lens_node_metrics,stress-node-0001,503,557.66,25528,
1770363748.421,2,oci_lens_drhpc_metrics,stress-node-0001,503,7.62,14961,
1770363749.476,2,amd-gpu-exporter,10.0.10.3,503,8.7,784459,
1770363746.314,2,node-exporter,10.0.10.3,503,2.04,583569,
1770363746.597,2,oci_lens_node_metrics,stress-node-0002,503,1.53,25528,
1770363747.913,2,oci_lens_drhpc_metrics,stress-node-0002,503,1.41,14961,
1770363747.495,2,amd-gpu-exporter,10.0.10.4,503,9.09,784459,
1770363746.494,2,node-exporter,10.0.10.4,503,2.32,583569,
1770363750.345,2,oci_lens_node_metrics,stress-node-0003,503,7.25,25528,
1770363746.166,2,oci_lens_drhpc_metrics,stress-node-0003,503,147.77,14961,
1770363746.166,2,amd-gpu-exporter,10.0.10.5,503,172.05,784459,
1770363747.025,2,node-exporter,10.0.10.5,503,2.49,583569,
1770363747.040,2,oci_lens_node_metrics,stress-node-0004,503,1.34,25528,
1770363747.906,2,oci_lens_drhpc_metrics,stress-node-0004,503,7.76,14961,
1770363747.831,2,amd-gpu-exporter,10.0.10.6,503,8.9,784459,
1770363747.737,2,node-exporter,10.0.10.6,503,2.18,583569,
1770363746.166,2,oci_lens_node_metrics,stress-node-0005,503,517.55,25528,
1770363748.103,2,oci_lens_drhpc_metrics,stress-node-0005,503,1.25,14961,
1770363749.058,2,amd-gpu-exporter,10.0.10.7,503,3.69,784459,
1770363746.881,2,node-exporter,10.0.10.7,503,2.24,583569,
1770363747.056,2,oci_lens_node_metrics,stress-node-0006,503,1.43,25528,
1770363748.086,2,oci_lens_drhpc_metrics,stress-node-0006,503,1.62,14961,
1770363747.143,2,amd-gpu-exporter,10.0.10.8,503,2.94,784459,
1770363749.804,2,node-exporter,10.0.10.8,503,8.4,583569,
1770363746.166,2,oci_lens_node_metrics,stress-node-0007,503,212.32,25528,
1770363746.257,2,oci_lens_drhpc_metrics,stress-node-0007,503,1.34,14961,
1770363747.602,2,amd-gpu-exporter,10.0.10.9,503,2.28,784459,
1770363748.302,2,node-exporter,10.0.10.9,503,2.38,583569,
1770363747.475,2,oci_lens_node_metrics,stress-node-0008,503,7.27,25528,
1770363747.658,2,oci_lens_drhpc_metrics,stress-node-0008,503,7.75,14961,
1770363749.441,2,amd-gpu-exporter,10.0.10.10,503,8.95,784459,
1770363749.418,2,node-exporter,10.0.10.10,503,8.58,583569,
1770363750.404,2,oci_lens_node_metrics,stress-node-0009,503,1.45,25528,
1770363747.579,2,oci_lens_drhpc_metrics,stress-node-0009,503,7.19,14961,
1770363746.678,2,oci_lens_pod_metrics,pod-node-mapper-stress-test,503,1.39,20659,
1770363806.246,3,amd-gpu-exporter,10.0.10.1,503,503.17,784459,
1770363809.150,3,node-exporter,10.0.10.1,503,2.02,583569,
1770363806.339,3,oci_lens_node_metrics,stress-node-0000,503,7.99,25528,
1770363809.104,3,oci_lens_drhpc_metrics,stress-node-0000,503,6.65,14961,
1770363808.271,3,amd-gpu-exporter,10.0.10.2,503,2.14,784459,
1770363807.496,3,node-exporter,10.0.10.2,503,2.4,583569,
1770363809.802,3,oci_lens_node_metrics,stress-node-0001,503,8.05,25528,
1770363808.445,3,oci_lens_drhpc_metrics,stress-node-0001,503,1.19,14961,
1770363806.670,3,amd-gpu-exporter,10.0.10.3,503,2.27,784459,
1770363808.825,3,node-exporter,10.0.10.3,503,2.25,583569,
1770363810.237,3,oci_lens_node_metrics,stress-node-0002,503,1.25,25528,
1770363810.025,3,oci_lens_drhpc_metrics,stress-node-0002,503,1.8,14961,
1770363808.234,3,amd-gpu-exporter,10.0.10.4,503,2.55,784459,
1770363810.286,3,node-exporter,10.0.10.4,503,1.67,583569,
1770363807.695,3,oci_lens_node_metrics,stress-node-0003,503,7.68,25528,
1770363810.116,3,oci_lens_drhpc_metrics,stress-node-0003,503,1.3,14961,
1770363806.245,3,amd-gpu-exporter,10.0.10.5,503,142.05,784459,
1770363810.215,3,node-exporter,10.0.10.5,503,2.11,583569,
1770363808.443,3,oci_lens_node_metrics,stress-node-0004,503,1.57,25528,
1770363808.314,3,oci_lens_drhpc_metrics,stress-node-0004,503,7.94,14961,
1770363806.246,3,amd-gpu-exporter,10.0.10.6,503,645.03,784459,
1770363808.290,3,node-exporter,10.0.10.6,503,7.54,583569,
1770363806.590,3,oci_lens_node_metrics,stress-node-0005,503,1.64,25528,
1770363807.730,3,oci_lens_drhpc_metrics,stress-node-0005,503,1.31,14961,
1770363806.826,3,amd-gpu-exporter,10.0.10.7,503,8.89,784459,
1770363810.423,3,node-exporter,10.0.10.7,503,1.71,583569,
1770363806.631,3,oci_lens_node_metrics,stress-node-0006,503,1.33,25528,
1770363808.242,3,oci_lens_drhpc_metrics,stress-node-0006,503,7.48,14961,
1770363809.808,3,amd-gpu-exporter,10.0.10.8,503,7.92,784459,
1770363806.246,3,node-exporter,10.0.10.8,503,653.06,583569,
1770363808.100,3,oci_lens_node_metrics,stress-node-0007,503,1.77,25528,
1770363806.269,3,oci_lens_drhpc_metrics,stress-node-0007,503,7.25,14961,
1770363809.092,3,amd-gpu-exporter,10.0.10.9,503,9.16,784459,
1770363809.676,3,node-exporter,10.0.10.9,503,2.72,583569,
1770363809.491,3,oci_lens_node_metrics,stress-node-0008,503,7.83,25528,
1770363807.392,3,oci_lens_drhpc_metrics,stress-node-0008,503,7.79,14961,
1770363807.554,3,amd-gpu-exporter,10.0.10.10,503,8.79,784459,
1770363806.303,3,node-exporter,10.0.10.10,503,2.03,583569,
1770363810.533,3,oci_lens_node_metrics,stress-node-0009,503,1.33,25528,
1770363810.058,3,oci_lens_drhpc_metrics,stress-node-0009,503,1.37,14961,
1770363808.506,3,oci_lens_pod_metrics,pod-node-mapper-stress-test,503,1.34,20659,
1770363866.265,4,amd-gpu-exporter,10.0.10.1,503,8.14,784459,
1770363868.540,4,node-exporter,10.0.10.1,503,2.53,583569,
1770363869.564,4,oci_lens_node_metrics,stress-node-0000,503,1.5,25528,
