timestamp,cycle,job,instance,status_code,latency_ms,payload_bytes,error
1770341665.907,1,amd-gpu-exporter,10.0.10.1,200,4465.31,784459,
1770341697.673,1,node-exporter,10.0.10.1,0,30703.24,583569,timeout
1770341700.673,1,oci_lens_node_metrics,stress-node-0000,0,30397.95,25528,timeout
1770341698.672,1,oci_lens_drhpc_metrics,stress-node-0000,0,30594.64,14961,timeout
1770341703.674,1,amd-gpu-exporter,10.0.10.2,0,30160.75,784459,timeout
1770341705.673,1,node-exporter,10.0.10.2,0,30856.65,583569,timeout
1770341707.673,1,oci_lens_node_metrics,stress-node-0001,0,30927.46,25528,timeout
1770341670.291,1,oci_lens_drhpc_metrics,stress-node-0001,200,8074.66,14961,
1770341705.673,1,amd-gpu-exporter,10.0.10.3,0,30302.87,784459,timeout
1770341701.674,1,node-exporter,10.0.10.3,0,30403.7,583569,timeout
1770341705.673,1,oci_lens_node_metrics,stress-node-0002,0,30604.49,25528,timeout
1770341662.421,1,oci_lens_drhpc_metrics,stress-node-0002,200,1526.01,14961,
1770341678.499,1,amd-gpu-exporter,10.0.10.4,200,15425.62,784459,
1770341699.674,1,node-exporter,10.0.10.4,0,30380.54,583569,timeout
1770341694.673,1,oci_lens_node_metrics,stress-node-0003,0,30191.65,25528,timeout
1770341658.475,1,oci_lens_drhpc_metrics,stress-node-0003,200,16.29,14961,
1770341660.977,1,amd-gpu-exporter,10.0.10.5,200,1009.51,784459,
1770341698.673,1,node-exporter,10.0.10.5,0,30389.7,583569,timeout
1770341702.674,1,oci_lens_node_metrics,stress-node-0004,0,30437.99,25528,timeout
1770341699.673,1,oci_lens_drhpc_metrics,stress-node-0004,0,30007.23,14961,timeout
1770341660.695,1,amd-gpu-exporter,10.0.10.6,200,878.01,784459,
1770341663.826,1,node-exporter,10.0.10.6,200,2616.14,583569,
1770341698.673,1,oci_lens_node_metrics,stress-node-0005,0,30431.17,25528,timeout
1770341662.863,1,oci_lens_drhpc_metrics,stress-node-0005,200,1878.7,14961,
1770341698.673,1,amd-gpu-exporter,10.0.10.7,0,30953.64,784459,timeout
1770341698.673,1,node-exporter,10.0.10.7,0,30421.02,583569,timeout
1770341675.397,1,oci_lens_node_metrics,stress-node-0006,200,12538.41,25528,
1770341698.673,1,oci_lens_drhpc_metrics,stress-node-0006,0,30008.28,14961,timeout
1770341708.673,1,amd-gpu-exporter,10.0.10.8,0,30675.04,784459,timeout
1770341694.673,1,node-exporter,10.0.10.8,0,30097.75,583569,timeout
1770341698.673,1,oci_lens_node_metrics,stress-node-0007,0,30988.22,25528,timeout
1770341702.673,1,oci_lens_drhpc_metrics,stress-node-0007,0,30531.06,14961,timeout
1770341688.340,1,amd-gpu-exporter,10.0.10.9,200,24330.84,784459,
1770341708.673,1,node-exporter,10.0.10.9,0,30758.93,583569,timeout
1770341695.674,1,oci_lens_node_metrics,stress-node-0008,0,30125.69,25528,timeout
1770341697.673,1,oci_lens_drhpc_metrics,stress-node-0008,0,30549.33,14961,timeout
1770341660.322,1,amd-gpu-exporter,10.0.10.10,200,679.42,784459,
1770341658.102,1,node-exporter,10.0.10.10,200,37.53,583569,
1770341695.674,1,oci_lens_node_metrics,stress-node-0009,0,30288.24,25528,timeout
1770341704.673,1,oci_lens_drhpc_metrics,stress-node-0009,0,30993.13,14961,timeout
1770341672.778,1,amd-gpu-exporter,10.0.10.11,200,10278.77,784459,
1770341695.674,1,node-exporter,10.0.10.11,0,30777.66,583569,timeout
1770341705.673,1,oci_lens_node_metrics,stress-node-0010,0,30010.01,25528,timeout
1770341664.106,1,oci_lens_drhpc_metrics,stress-node-0010,200,2871.01,14961,
1770341699.674,1,amd-gpu-exporter,10.0.10.12,0,30870.62,784459,timeout
1770341662.661,1,node-exporter,10.0.10.12,200,1741.78,583569,
1770341702.673,1,oci_lens_node_metrics,stress-node-0011,0,30116.49,25528,timeout
1770341698.673,1,oci_lens_drhpc_metrics,stress-node-0011,0,30537.29,14961,timeout
1770341676.272,1,amd-gpu-exporter,10.0.10.13,200,13357.03,784459,
1770341702.673,1,node-exporter,10.0.10.13,0,30237.68,583569,timeout
1770341707.673,1,oci_lens_node_metrics,stress-node-0012,0,30916.79,25528,timeout
1770341666.156,1,oci_lens_drhpc_metrics,stress-node-0012,200,4590.3,14961,
1770341665.349,1,amd-gpu-exporter,10.0.10.14,200,3990.29,784459,
1770341684.139,1,node-exporter,10.0.10.14,200,20482.62,583569,
1770341705.673,1,oci_lens_node_metrics,stress-node-0013,0,30971.81,25528,timeout
1770341703.674,1,oci_lens_drhpc_metrics,stress-node-0013,0,30263.88,14961,timeout
1770341663.084,1,amd-gpu-exporter,10.0.10.15,200,2154.84,784459,
